GO	genes
response to drug	Gr21a;S;Gr22f;Gr22e;Gr22c;Gr22a;VGlut;Gr23a;homer;Gr28a;Gr28b;Ntl;Akap200;CG9314;CG7309;Gr32a;Gr33a;Gr36a;Gr36b;Gr36c;Sytalpha;spi;Gr39a;Tdc2;Gr43a;Dic3;whd;Cyp12d1-p;Gr47b;Cyp6g2;Cyp6t3;Cam;CG3790;Mdr49;Vmat;Mdr50;Cyp6a8;Arf51F;Jhe;DAT;Gr57a;Gr58a;Synj;Vrp1;Gr59a;Gr59b;Gr59c;Gr59d;apt;mAChR-A;Tpc2;Pdk1;Gr63a;CG10226;Mdr65;Gr66a;Gr68a;CG32103;Sytbeta;st;Prestin;CG6893;Dic4;CG32206;lush;cyc;Gr77a;Ac78C;slif;Orco;Nmdar1;kra;glob3;mAChR-B;pum;CG16736;Blm;GC2;CG34402;ry;dpr9;pxb;glob1;Pxd;unc79;CASK;Gr93a;Gr93b;Gr93d;klg;Tsc1;CG31121;Gr97a;Gr98a;Gr98b;Gr98c;Dop1R2;CanA1;dco;Syt7;iav;Tbh;slpr;Gr8a;Gr9a;Gr10b;Gr10a;Syt12;ben;na;mei-41;hang;phm;Tao;amn;Cyp6t1
cell death	l(2)gl;ebi;crq;Hsp60B;S;Tengl3;Tengl2;Tengl1;Drp1;CG3277;ft;Traf4;Hsp60C;Ddr;Sec61alpha;wg;Su(var)205;Dref;Ror;RnrL;Nup154;bun;Hsp60D;CG31832;Cul3;CycE;fzy;Cyt-c-d;Acn;Phlpp;CG10700;CG17349;spi;scw;lok;Mcm10;Ret;CG41520;vimar;cos;cn;Cul1;pnut;Uba1;TER94;CG12917;lola;en;Damm;RnrS;Cam;DUBAI;Drl-2;Nrk;Dp;Sox15;Opa1;CG10257;aPKC;casp;spin;Ptp52F;Alk;POSH;Dcr-2;Atg7;hpo;Fili;GlcT-1;Synj;wrapper;qkr58E-3;RYBP;yki;snama;spag;Pdk1;Roc1b;spz5;Ubi-p63E;NT1;l(3)psg2;scny;velo;CG7546;msk;BI-1;Cbl;pix;scyl;chrb;viaf;Atg1;CG14118;SRm160;Pdi;Msh6;CG32176;Eip74EF;Ccn;grim;Atg3;ftz-f1;aux;Atg17;Pak;Dfd;puc;Atg13;bel;skap;Ras85D;dmt;Fmr1;Tengl4;Csk;Blm;Men;rdx;kibra;CG42788;Atx2;CG9593;Akt1;Fer2;Abd-B;CG17283;htl;nos;Dl;Naam;psidin;Lrrk;slmb;mod(mdg4);cd;sav;RpS3;mask;BRWD3;Cad96Ca;XNP;CG14062;Dop1R2;Axn;hdc;wts;dco;mav;Actbeta;sc;Rbf;futsch;arm;csw;CG2918;N;ec;Tip60;ctp;Pink1;sws;Trf2;lz;Atg8a;v;sev;ben;Rab3-GEF;Tao;Mer;CG15456
pyridine-containing compound metabolic process	Eno;CG9961;CG2964;Gpdh;Mdh1;cn;Gapdh1;Pgi;CG6145;Dg;CG9010;CG3215;Idh;CG12229;CG11249;CG31473;Su(var)3-7;CG7362;PyK;CG7069;CG7059;Gdh;CG5432;Hex-t1;Hex-t2;Pglym78;Tpi;CG1544;N;Hex-A;Gapdh2
cell recognition	robo3;bchs;mmy;Pvf3;Wnt4;CG7179;Mcr;CG8668;CG44153;Trim9;SCAR;ab;Sos;Arpc1;beat-Ic;beat-Ia;CadN;dpr12;esn;Dscam1;lola;stan;Drl-2;Rho1;gek;Rac1;CG12004;Con;Dscam2;CG32373;Dscam4;Fuca;Ptp69D;comm;Abl;Nedd4;tey;trc;nrm;Cont;kra;Fmr1;Hsc70-4;Fas1;Dscam3;RhoGAP93B;tok;Tl;eater;WASp;CG2901;dsh;pot;NetB;acj6;RhoGAPp190;CG6867
eggshell formation	S;CG31926;ed;Cf2;H15;smt3;CG13113;bun;CycE;cact;chif;squ;Pax;fs(2)ltoPP43;spir;Fs(2)Ket;gus;geminin;RanBPM;Dp;mip120;dup;Lis-1;Khc;PCNA;Rac1;armi;RecQ4;Klc;Ilp8;mael;CG1077;puc;Ras85D;CG4066;pic;jvl;Pxd;Pxt;cic;slmb;polybromo;ttk;Rbf;mip130;N;CG15571;Femcoat;Muc4B;spoon;slpr;Cp7Fa;Cp36;CG32642;CG15721;CG12716;hep;Muc12Ea;Myb;Cdc42
RNA localization	l(2)gl;Hel25E;chic;Sem1;emb;Nup154;Ge-1;Nup160;Rab6;BicD;swm;spir;CG8671;CG1421;Nup50;CG14749;TER94;Mtor;SmD3;bic;aPKC;Lis-1;Khc;Nup62;Dcr-2;stau;par-1;exu;mago;Rae1;CG12782;egl;thoc7;klar;Hsp83;enc;Dhc64C;CG10576;pix;smg;alphaTub67C;thoc6;D;AGO2;mael;CkIIalpha;lost;e(y)2b;nxf4;osk;rump;Fmr1;glo;sqd;jvl;Tm1;msps;Mat89Ba;SF2;mira;Rab11;slmb;AP-2mu;Nup98-96;Rab7;Syx1A;Nup358;RASSF8;btz;Slbp;egh;spoon;swa;Moe;sbr;Dlic;CkIIbeta;wisp;Nup93-1;Grip128;CG8184;CG9915;U2af50;Nup153;xmas-2;CG6540;CG6961;Mer;Nup205
urogenital system development	S;Mad;wg;raw;numb;pim;da;kuz;sna;spi;cad;tsh;tio;sns;hbs;Rho1;rib;twi;zip;Kr;trh;Doc3;Doc2;Doc1;byn;rols;kkv;Ras85D;pnr;htl;tin;sav;mbc;scrib;sc;ase;kirre;N
regulation of cellular component biogenesis	kis;chinmo;cpb;Mad;Lam;chic;x16;Rack1;Su(var)205;Ssb-c31a;C1GalTA;loh;SCAR;Arpc1;kon;brat;spir;Arpc2;Cul2;Src42A;Rpt1;Acsl;TER94;stan;Mtor;wash;bic;stj;aPKC;Rho1;spin;Khc;Syn2;stau;ena;hts;par-1;exu;cpa;mago;Rae1;Synj;Vrp1;pgc;Klp59D;Ssrp;tsr;gek;klar;mwh;Rac1;Spn;CG11486;enc;Cip4;Src64B;mad2;nmo;nwk;simj;Rpt4R;RhoGAP68F;sti;flr;Abp1;Pex3;Abl;Galphaf;Nedd4;Rab8;chb;Syn1;mael;Kat60;kra;asl;Pak;Cenp-C;pum;Rpt3R;Fmr1;Jupiter;Su(var)3-7;B52;Abi;Tm1;Atx2;msps;Akt1;gish;SF2;Pak3;Patr-1;cal1;nos;RhoGAP92B;mira;psidin;Stat92E;Pi3K92E;Synd;Rab11;slmb;CASK;Octbeta1R;Rpt5;Nup98-96;Syx1A;ssh;spz;CG5815;Mtl;WASp;Cul5;Rpt6R;dco;DAAM;futsch;PsGEF;N;spoon;swa;HP1b;Rpt3;dsh;hop;nod;cac;Sec16;hep;Bap60;hiw;caz;Dsp1;Rok;mnb;Cdc42;Rab35;CG15456;Rpt6
multi-multicellular organism process	Pkd2;Acp36DE;lectin-46Ca;CG17575;antr;Sems;Gld;Abd-B;Gdh;CG9997;aqrs;intr;CG15537;CG15208;CG15200;Pp1-13C
cellular macromolecule catabolic process	ebi;CG13690;Su(dx);Uch;Tengl3;Tengl2;Tengl1;Prosbeta4R1;Prosbeta4R2;RpL40;Rpn11;Rca1;Rat1;Sem1;poe;Cks30A;pelo;Prosalpha6;Trim9;piwi;Ge-1;CG14937;CG6766;Prosalpha6T;Smg5;Cul3;CG31823;fzy;Prosbeta4;CG7094;Nedd8;brat;CG9316;Pomp;Cul2;gus;Not3;wech;Rpt1;Cul1;gcl;Not1;Prosalpha7;TER94;dmpd;CG12917;Prosbeta5;nompA;CG9003;DUBAI;CG6347;AGO1;Rpn13;Cp1;phyl;Rpn6;CG30466;CG8405;Prosalpha5;CG18467;POSH;Dcr-2;Topors;CG18605;mei-W68;hpo;CG11044;Prosalpha3;Snp;ari-2;RYBP;yip3;mi;fzr2;snama;CG42383;Prosalpha4T2;gol;Tudor-SN;Roc1b;CG34025;CG11486;armi;CG10862;CG43089;Ubi-p63E;ago;CG17030;scny;Cdc27;Cbl;pix;smg;CG4911;Uch-L5;CG12362;CG32085;Rpt4R;Pop2;vih;CG14118;CG12520;26-29-p;Prosbeta2;Rpn12R;CG7804;CG7656;Rpn12;CG9705;sinah;CG9951;CG7707;Edc3;Nedd4;Ugt;Rpn1;CSN3;Rpn10;CkIIalpha;AGO3;ctrip;Prosbeta2R2;CG12163;CG11999;CG12147;Rga;Rpn5;Ubc84D;osk;Prosbeta3;pum;rump;Rpt3R;Fmr1;Tengl4;CG6923;Prosalpha2;pic;sqd;rdx;CG12402;eff;Rrp6;CG14891;Patr-1;CG5823;CG14317;CG14291;Ire1;Prosalpha4T1;slmb;Rpn7;CG34375;CG6688;CG10254;Rpt5;Rpt2;CG10694;twin;Nab2;puf;CG5003;CG14062;Cul5;Rpn2;CG2010;Axn;CG11498;Rpt6R;dco;Prosalpha3T;faf;CG2053;Rad23;gw;tw;inc;wds;CG2681;Prosbeta2R1;Ubi-p5E;CG11700;Pink1;Trf4-1;Rpt3;Hsc70-3;Upf1;Usp7;CG2577;CkIalpha;CG8184;Prosalpha4;CG8188;CG15814;Vps4;ari-1;CG15056;Rcd-1;Ubqn;Rpt6
aminoglycan metabolic process	Cda5;CG42296;Muc26B;mmy;obst-B;ChLD3;CG12913;CG8192;Cht8;Cht12;CG13806;CG32302;Cht7;CG14957;CG42525;CG11357;sgl;PGRP-SD;CG13676;CG13675;CG34427;CG13312;PGRP-LC;Fuca;CG5897;CG5883;CG7252;CG17826;obst-G;CG7248;CG43294;CG33263;CG10154;CG10140;CG33985;CG42729;obst-H;CG13075;PGRP-SB2;GNBP1;obst-J;obst-F;CG7298;CG7290;CG6996;CG7017;CG17145;CG17147;kkv;CG14607;mtg;knk;Cht5;Mur89F;CG14304;CG14301;CG14300;CG34282;CG7714;CG7715;CG14291;CG13837;CG13643;CG14244;Mur2B;Idgf4;Cht6;rtv;PGRP-SA;CG9220;Peritrophin-A;Cda4
gene silencing	Elba2;Elba3;Lam;chm;Su(var)205;Chrac-14;pelo;me31B;piwi;Ge-1;crol;Sfmbt;Smg5;squ;msl-1;Top2;Nbr;Mcm10;CG8677;Ars2;bin3;Bap170;psq;wde;wash;Psc;cid;fl(2)d;AGO1;CG6701;Su(var)2-HP2;Rif1;Dg;Khc;CG6967;Dcr-2;lolal;dom;LS2;pita;shu;ppk29;Kr;Tudor-SN;mu2;armi;blanks;scny;phol;JIL-1;upSET;CG9425;AGO2;Su(z)12;Pc;mael;AGO3;corto;Rga;MTA1-like;Rm62;gpp;bel;CG8036;pum;HP1e;MBD-like;Scm;Fmr1;Su(var)3-7;su(Hw);BigH1;Hsc70-4;Cp190;Atx2;cd;CG6204;Spps;puf;polybromo;vig2;XNP;hdc;gw;pho;Hmt4-20;Adar;z;Hsc70-3;Upf1;Usp7;g;CoRest;e(y)3;CG17168
peripheral nervous system development	spen;da;Trim9;CycE;dl;spi;Dscam1;dila;SmD3;cnn;chn;Rho1;Rac1;pav;vn;alphaTub67C;GlcAT-P;CycA;puc;Rel;Ras85D;dmt;Dl;spdo;ttk;sc;ase;egh;N;exd
