GO	genes
cell division	l(2)gl;AP-2alpha;Pex12;chinmo;dpp;Drp1;lilli;Mad;Lam;CG7236;chic;slam;Wee1;cdc14;mts;mtsh;alien;aust;borr;Cks30A;numb;pelo;Dref;pim;pie;piwi;Tor;Su(H);esg;wor;CycE;twe;Syx5;rdo;CG31802;Nak;brat;gammaTub37C;barr;Cen;Nipped-A;Act42A;Incenp;scra;sax;pnut;stmA;ana2;Ggamma1;dap;Mtor;Cap-G;Pex13;cnn;tum;mam;LamC;aPKC;Arf51F;dup;Lis-1;Bap55;sub;thr;stau;Ote;shg;CycB;Klp59C;CG30183;bgcn;DNA-ligI;tsr;egg;zip;wac;fwd;msd1;alphaCOP;Cdc37;Patj;Mrtf;enc;pav;Dhc64C;mad2;Rcc1;Galphai;Cdc27;pbl;RecQ4;Cdc6;Klp67A;alphaTub67C;nudE;CycA;sti;endos;nuf;fz;tra;CG33052;bora;polo;CSN3;chb;Arf79F;Kat60;hd;asl;kat-60L1;Sas-4;alphaTub84D;Mcm2;Sgt1;Cks85A;neur;pum;dmt;hyd;tws;Bruce;jumu;Skeletor;Blm;Spc25;flfl;put;eff;msps;nos;Dl;mira;Stat92E;Sep2;Synd;Rab11;Rab1;how;bond;loco;hh;Cdc16;eIF4G2;spas;Syx1A;Apc2;twin;crb;asp;CycB3;Mink;msi;ball;WASp;stg;ncd;tll;dco;bnk;gammaCOP;CycG;Med;CG17778;Ocrl;Klp3A;Zw10;fs(1)Yb;fs(1)Ya;N;Act5C;swa;Mcm6;nullo;Sxl;ric8a;feo;Klp10A;Ran;hop;mud;Grip128;Myb;kat80;Rok;Sep4;baz;CG8188;par-6;Mer;Cdc42;pico;Rab35;Sep1
tissue migration	kis;cpb;aop;Rab5;dpp;Tsp26A;stai;tai;Stam;ab;salm;bun;kuz;Sos;rk;esg;kel;EcR;jing;mim;Vang;Rme-8;Sin3A;drk;RN-tre;CG8155;Lis-1;cnk;ena;rib;par-1;hpo;18w;shg;apt;tsr;yki;zip;Ptpmeg;Rac1;ru;Mrtf;Girdin;Dhc64C;vn;ple;sgl;pbl;Cbl;Shc;CalpB;nudE;byn;rols;flr;btl;fz;shd;kug;knrl;kni;Ras85D;Abi;stumps;kibra;AdamTS-A;Akt1;htl;sr;Dl;bnl;psidin;Stat92E;Sec15;Rab11;slmb;Burs;CASK;hh;mbc;Rab7;sosie;wts;ttk;Crk;usp;csw;egh;N;Rala;spoon;Dsor1;spri;dsh;hop;Evi5;hep;mthl1;baz;par-6;phm;Pvf1;Vav;dome
regulation of cellular component biogenesis	kis;chinmo;cpb;Mad;Lam;chic;x16;Rack1;Su(var)205;Ssb-c31a;Btk29A;Pka-C1;Pten;loh;SCAR;Tor;Arpc1;qua;kon;brat;spir;Arpc2;Cul2;conu;Src42A;Mob4;didum;Rpt1;sax;TER94;stan;Mtor;wash;bic;stj;LamC;aPKC;Khc;Syn2;Snx16;stau;ena;par-1;exu;cpa;mago;Rae1;Tbp;Synj;Vrp1;pgc;PIP5K59B;Klp59D;Ssrp;tsr;gek;Eps-15;klar;trio;mwh;Rac1;Spn;CG11486;enc;Cip4;Src64B;mad2;Ank2;pbl;nmo;nwk;Taf2;simj;Rpt4R;RhoGAP68F;sti;flr;Abp1;fz;Pex3;dbo;Abl;Galphaf;CG33052;Nedd4;Rab8;kug;RhoBTB;chb;Syn1;mael;Kat60;kra;asl;Pak;Taf1;Cenp-C;pum;Rpt3R;Fmr1;Arfip;Jupiter;Su(var)3-7;B52;Abi;Tm1;Atx2;spn-E;msps;Akt1;gish;SF2;Pak3;Patr-1;cal1;nos;RhoGAP92B;mira;psidin;Stat92E;Pi3K92E;Synd;Rab11;slmb;CASK;Octbeta1R;cnc;Rpt5;Nup98-96;spas;Syx1A;ssh;Tnks;spz;CG5815;Mtl;WASp;Cul5;ncd;Rpt6R;dco;Med;svr;DAAM;futsch;Ocrl;PsGEF;Syx4;N;spoon;raptor;Rpt4;swa;HP1b;Rpt3;dsh;hop;nod;cac;Sec16;hep;Bap60;hiw;caz;Rok;baz;par-6;mnb;rictor;Cdc42;Rab35;CG15456;Rpt6
oocyte differentiation	l(2)gl;capt;dpp;chic;milt;Rbsn-5;Pka-C1;piwi;Nup154;Ge-1;Rab6;BicD;Grip71;gammaTub37C;spir;del;gus;didum;gcl;dap;TER94;psq;SmD3;muskelin;bic;AGO1;aPKC;Lis-1;krimp;Khc;MESR4;stau;par-1;TBCB;exu;sktl;shg;cpa;mago;tud;egl;klar;Hsp83;armi;enc;Dhc64C;nudE;polo;chb;mael;CkIIalpha;lost;jagn;osk;rump;Ras85D;Fmr1;glo;jvl;Tm1;Atx2;spn-E;msps;14-3-3epsilon;nos;Dl;mira;cic;Rab11;slmb;loco;cnc;orb;Syx1A;tld;asp;scrib;spz;btz;Gprk2;pasha;heph;egh;N;swa;Sxl;Moe;CkIIbeta;wisp;lic;Grip128;Chc;Rok;baz;Mer
lamellipodium organization	cpb;SCAR;aPKC;ena;cpa;tsr;Rac1;SH3PX1;Abl;Abi;Tm1;psidin;ssh;Mtl;hep;par-6;Cdc42
cuticle development	l(2)gl;Sec24CD;Duox;fred;CG2837;Lam;mmy;wg;Rack1;SoxN;Cpr30B;Cpr30F;Cpr31A;Cpr35B;ck;Ddc;Hr38;gus;EcR;Lcp1;Lcp3;Cpr47Ea;Cpr47Eb;Cpr47Ec;Cpr47Ed;Cpr47Ee;Cpr47Eg;sha;Cpr49Aa;Cpr49Af;Cpr49Ah;Cpr50Ca;Cpr50Cb;Cpr51A;resilin;grh;Idgf5;Cpr56F;Cht12;Fili;yellow-d2;pio;Cpr60D;zip;klar;bab1;ru;Cpr62Ba;Cpr62Bb;yellow-g;yellow-g2;Cht7;dib;Cpr64Aa;Cpr64Ac;Dhc64C;l(3)mbn;Lcp65Ae;Cpr65Av;Cpr65Aw;Lcp65Ad;Lcp65Ac;Acp65Aa;Cpr65Ay;ple;Cpr65Ec;CG13670;Cpr66Cb;Cpr66D;E(z);Cpr67Fb;fz;yellow-k;Cpr72Ea;Cpr72Eb;Cpr72Ec;dsx-c73A;Cpr73D;Cpr76Ba;Cpr76Bb;Cpr76Bc;Cpr76Bd;fng;Cpr78Ca;Cpr78Cb;Cpr78E;CS-2;TwdlG;TwdlV;kkv;Edg84A;Ccp84Af;Ccp84Ae;Ccp84Ad;Ccp84Aa;Mkk4;knk;yellow-e3;yellow-e2;Akt1;osa;Cpr92A;Cpr92F;e;Burs;Efa6;loco;p38c;Apc2;Tnks;TwdlP;TwdlK;TwdlH;TwdlR;TwdlS;Tb;TwdlQ;Cpr97Ea;Ser;CG9990;WASp;Apc;CG15515;Axn;gammaCOP;pygo;ttk;krz;yellow-h;lgs;y;arm;ovo;Cpr5C;sn;t;Idgf4;rtv;m;ATP7;pot;Cpr11A;Cpr11B;lic;CG15756;Cpr12A;TwdlX;Twdlalpha;f
eggshell formation	S;dpp;ed;Cf2;H15;mid;smt3;bun;CycE;cact;chif;squ;fs(2)ltoPP43;spir;Fs(2)Ket;rl;gus;geminin;tor;sax;Cul4;clos;RanBPM;Dp;mip120;dup;Lis-1;Khc;mip40;18w;PCNA;Rac1;armi;RecQ4;mfr;mirr;Klc;mael;hd;CG1077;Ras85D;pic;jvl;spn-E;Pxd;Pxt;cic;slmb;polybromo;Cad99C;ttk;Rbf;fs(1)N;mip130;N;CG15571;Femcoat;Muc4B;spoon;fs(1)M3;Mcm6;slpr;Cp7Fa;Cp36;CG32642;Mur11Da;CG15721;CG12716;hep;Muc12Ea;Myb;kat80;Cyp18a1;Cdc42
positive regulation of developmental process	kis;ebi;Ptth;cpb;aop;Sec24CD;dpp;Drp1;Mad;bchs;chic;mmy;wg;d;tai;gcm;da;bun;PICK1;Tor;kuz;Mcm10;step;tsh;rl;Src42A;EcR;pk;didum;sax;Cul1;dpn;pnut;Vang;Rme-8;stan;Dp;Vmat;Prosap;aPKC;Hr51;Mlf;Lis-1;Snx16;stau;shg;Synj;yki;Pgam5-2;zip;Pdk1;nerfin-1;trio;Rac1;dar1;Src64B;Dhc64C;DnaJ-1;scny;vn;Ank2;nmo;Cbl;Ilp2;RasGAP1;nudE;simj;ssp;RhoGAP68F;Atg1;Wbp2;Abp1;fz;mop;Dab;nudC;Nedd4;sNPF-R;park;Arf79F;kat-60L1;Pak;Dfd;Atg13;Ras85D;Fmr1;Tctp;Arfip;btsz;Akt1;Pak3;Ubx;abd-A;Abd-B;RhoGAP92B;Pi3K92E;Synd;slmb;Rab1;tsl;Rassf;nau;mbc;spas;Orct2;spg;stg;Med;ttk;ey;PlexA;G9a;Roc1a;DAAM;Ilp6;N;ec;lva;ctp;raptor;oc;lz;spri;Imp;dsh;cac;hep;lic;Pdcd4;jub;caz;mbt;mnb;ari-1;upd2;Wnt5;Pvf1;rictor;pico;Rab35
protein catabolic process	ebi;CG31928;CG33128;Su(dx);Uch;CG9962;Prosbeta4R1;Prosbeta4R2;CG15412;RpL40;Rpn11;CG11070;Rca1;Sem1;poe;Cks30A;Pka-C1;Prosalpha6;CG5367;Trim9;CG17134;CG14937;CG6766;Tor;CG9934;Prosalpha6T;Cul3;CG31823;CG31821;fzy;Prosbeta4;CG7094;Nedd8;Rpn3;brat;CG13085;CG9316;Cul2;gus;p47;wech;Rpt1;Cul1;Cul4;gcl;Prosalpha7;TER94;dmpd;Prosbeta5;CG9003;DUBAI;CG6347;Rpn13;Cp1;phyl;Rpn6;CG30466;Prosbeta1;CG8405;Prosalpha5;CG18467;POSH;Topors;CG18605;hpo;CG11044;CG9945;Prosalpha3;CG11275;ari-2;RYBP;yip3;mi;CG15800;fzr2;snama;Rpn8;CG42383;Prosalpha4T2;gol;Roc1b;CG32483;CG34025;CG10862;CG43089;Ubi-p63E;ago;scny;Cdc27;Cbl;CG4911;Uch-L5;pall;CG12362;CG32085;Rpt4R;vih;CG12520;26-29-p;Prosbeta2;Rpn12R;CG7656;CG10516;Notum;Rpn12;Prosbeta6;sina;sinah;CG9951;CG7707;Nedd4;Ugt;Rpn1;trbl;CG5199;CSN3;park;Rpn10;CkIIalpha;ctrip;Prosbeta2R2;CG12163;Prosbeta7;CG12147;Rpn5;CG10435;Prosbeta3;Rpt3R;Bruce;CG6923;Prosalpha2;pic;rdx;CG12402;eff;CG14891;CG17283;CG5860;CG5863;CG5823;CG14317;CG14291;CG4572;CG4538;Prosalpha4T1;slmb;Rpn7;CG34375;CG6688;Cdc16;CG10254;Rpn9;Rpt5;Rpt2;CG10694;Apc2;crb;puf;Tnks;CG5003;Apc;Cul5;alpha-Man-Ib;Rpn2;Axn;CG11498;Rpt6R;dco;Prosalpha3T;faf;Rad23;Roc1a;tw;inc;wds;CG2681;Prosbeta2R1;Ubi-p5E;Rpt4;CG42797;Rpt3;CG2247;Hsc70-3;Usp7;Uch-L5R;CG2577;CG4661;CG8184;Prosalpha4;CG8188;CG15814;Vps4;ari-1;CG15056;Ubqn;HERC2;Rpt6
protein polymerization	chinmo;cpb;Drp1;Lam;chic;Rack1;Btk29A;SCAR;Arpc1;CG18109;qua;gammaTub37C;spir;Arpc2;conu;wash;LamC;Khc;cpa;Vrp1;CG3085;Ssrp;tsr;gek;mwh;msd1;ens;Cip4;CG32232;CG7716;nwk;nudE;flr;polo;RhoBTB;chb;Sas-4;Jupiter;Atx2;msps;gish;RhoGAP92B;Nup98-96;asp;ssh;Mtl;WASp;dco;svr;DAAM;PsGEF;spoon;nod;Grip128;Grip84;Cdc42
positive regulation of multicellular organismal process	kis;ebi;Ptth;cpb;aop;Sec24CD;dpp;Mad;bchs;chic;mmy;homer;wg;d;Dh31;tai;gcm;rho-5;da;Nup154;bun;Tor;kuz;bgm;Mcm10;step;tsh;rl;Src42A;EcR;pk;didum;sax;Cul1;dpn;pnut;Vang;Rme-8;stan;Dp;Vmat;Prosap;Ih;aPKC;Hr51;Lis-1;Snx16;stau;shg;Synj;yki;zip;Pdk1;nerfin-1;trio;Rac1;cue;dar1;Src64B;Dhc64C;scny;vn;Ank2;nmo;Cbl;Ilp2;RasGAP1;nudE;simj;ssp;RhoGAP68F;Atg1;Wbp2;Abp1;fz;mop;Dab;nudC;Nedd4;sNPF-R;Arf79F;kat-60L1;Pak;Atg13;Ras85D;Fmr1;Tctp;Arfip;Crz;btsz;Akt1;Pak3;Ubx;abd-A;RhoGAP92B;Pi3K92E;Oamb;Synd;slmb;Rab1;tsl;CCAP;Rassf;mbc;spas;Orct2;mld;Ets96B;spg;stg;TkR99D;Med;ttk;ey;Sox102F;PlexA;G9a;Roc1a;Ilp6;N;ec;lva;ctp;raptor;oc;lz;Hk;spri;BTBD9;Imp;dsh;cac;hep;lic;jub;caz;mbt;mnb;ari-1;upd2;Wnt5;Pvf1;rictor;Rab35
syncytium formation	dock;CG9961;Pgk;SCAR;Tor;Gapdh1;sns;eve;mspo;hbs;Arf51F;Vrp1;zip;Rac1;ImpL3;rols;Six4;siz;Hem;Akt1;Pak3;lbl;lbe;PyK;lmd;nau;mbc;WASp;Pglym78;Tpi;Crk;kirre;Rok;sing;Vav
cell-cell fusion	dock;CG9961;Pgk;SCAR;Tor;Gapdh1;sns;eve;mspo;hbs;Arf51F;Vrp1;zip;Rac1;ImpL3;rols;Six4;siz;Hem;Akt1;Pak3;lbl;lbe;PyK;lmd;nau;mbc;WASp;Pglym78;Tpi;Crk;kirre;Rok;sing;Vav
positive regulation of molecular function	l(2)gl;RpLP1;drongo;Cdlc2;Traf4;CG7742;PDZ-GEF;nrv1;smt3;RapGAP1;Cks30A;Gdi;Cdk5alpha;RnrL;Nos;CycY;esc;CG33310;CG31832;Cul3;fzy;chif;Cyt-c-d;RanGAP;CdGAPr;barr;lok;RPA2;bur;step;CG1416;rl;CG41520;Nipped-B;conu;vimar;Nup50;CG8243;Orc6;Elp2;Sod3;RnrS;CG8407;tum;CG13344;Rpn13;RN-tre;Asx;hbs;CG8155;Alk;RhoGAP54D;Hsf;hppy;hpo;fzr2;Pdk1;Roc1b;scf;Rac1;Cdc37;msn;CG2113;Src64B;smid;pbl;Uba2;RasGAP1;RhoGAP68F;ArfGAP1;gnu;Msh6;RhoGAP71E;CycT;Crtc;grim;bora;wnd;Mi-2;CG7324;Wnk;CG17514;srl;rev7;Atg17;CG2104;Pak;RacGAP84C;Atg13;Mkk4;Cks85A;CG42795;Aos1;Abi;Atx2;CG9593;CG5916;mtSSB;Pak3;GckIII;fray;CG11703;CG5250;RhoGAP92B;Pi3K92E;Oamb;RhoGAP93B;CG5745;mats;loco;Gclm;Takl2;RanBP3;mbc;Tsc1;Nup358;CG5948;ttk;RhoGAP100F;RhoGAP102A;PlexA;RhoGAP1A;Rbf;CG3703;TfIIA-S-2;Ocrl;wapl;ctp;mof;raptor;CG32727;Traf6;slpr;Crag;Dsor1;ric8a;CG1791;spri;rtv;CG1657;Evi5;rad;hep;lic;HDAC4;Rab3-GEF;Graf;CG8509;Stim;Traf-like;mbt;RhoGAPp190;CG42684;RhoGAP16F;RhoGAP18B;rictor;Vav;Tao;Cdc42;CG1695;CG32506;RhoGAP19D;su(f)
gliogenesis	spen;poe;numb;gcm;gcm2;salm;kuz;jing;so;ths;unc-5;dup;hpo;retn;yki;Rac1;ago;CG13287;Mdr65;Galphai;btl;hkb;Cont;cno;cas;tgo;svp;stumps;kibra;gish;htl;repo;Dl;bnl;slmb;how;loco;CG45049;hh;XNP;Ser;Dr;wts;ey;vnd;N;nej;NetA;NetB;eag;CG6398;Mer;amn
positive regulation of protein metabolic process	ebi;RpLP1;Su(dx);dpp;CG9962;daw;CG3277;Traf4;CG9098;Ddr;mmy;smt3;Mnn1;Rack1;Su(var)205;Cks30A;Pka-C1;hoip;Ror;Cdk5alpha;RnrL;CycY;esc;Tor;CG31832;Cul3;fzy;chif;Cyt-c-d;CG7094;drl;scw;lok;bur;Ret;step;CG41520;gus;Src42A;Rpt1;tor;Cul1;Cul4;babo;TER94;Elp2;CG9062;RnrS;Drl-2;Nrk;drk;Rpn13;phyl;Asx;hbs;CG8405;Alk;CG8963;cnk;stau;Pcl;slim;hppy;hpo;ari-2;Rtf1;Pde8;fzr2;yki;CG4612;Pdk1;Roc1b;Aplip1;Rac1;Cdc37;msn;Src64B;vn;lark;Hsp67Bc;CG12362;E(z);Rpt4R;vih;stv;btl;gnu;CG13458;sina;CG9951;Nedd4;CycT;grim;bora;wnd;sNPF-R;trbl;park;ctrip;CG12147;PEK;Atg17;Pak;Ada2b;Atg13;Mkk4;Cks85A;M1BP;osk;pum;Ras85D;Rpt3R;Fmr1;Tctp;pic;rdx;Abi;CG9593;Pak3;GckIII;htl;fray;bnl;Pi3K92E;Oamb;slmb;mats;Takl2;orb;Rpt5;mbc;Pli;Rpt2;Apc2;Cad96Ca;Tnks;Hrb98DE;Apc;spg;Axn;Rpt6R;dco;krz;Crk;Eph;mav;Actbeta;G9a;Roc1a;trr;wds;tyf;raptor;Rpt4;slpr;Dsor1;CG42797;CG1791;sev;Rpt3;CG2577;hep;lic;CG13404;Rab3-GEF;mbt;ari-1;Pvf1;rictor;Vav;Tao;Mer;Cdc42;Rpt6;CG41106
organelle assembly	BBS8;rempA;CG10874;CG15399;Chd1;CG2955;Lam;CG13999;ifc;Wee1;milt;CG31907;cdc14;mts;mtsh;Pp2A-29B;emb;Cks30A;scat;RpS28-like;CG42366;me31B;mRpS7;Nup154;Ge-1;CG5142;CG5458;RpL24;CG10859;Rab14;CG18109;Tektin-A;CG10839;grp;CG31803;Dhc36C;btv;CG31802;kon;CG15161;Grip71;gammaTub37C;Oseg5;dtr;nompB;l(2)41Ab;Mob4;Eb1;Incenp;p47;CanB2;Nop17l;pnut;ana2;CG8800;dila;BBS4;Mtor;Iswi;cnn;cid;mars;Prosap;Rcd1;SRPK;Cep89;Lis-1;RpS15;sub;stau;CG17669;CG18190;Efhc1.2;CG9313;CG15666;Synj;nsr;CG30259;CG3085;Klp59D;Nap1;CG42383;zip;wac;Oseg4;Oseg2;Non2;CG11486;CG32263;Rcd5;pav;Dhc64C;Tektin-C;mad2;ssp6;BBS1;CG7716;CG32371;pbl;Klp67A;alphaTub67C;SH3PX1;Zasp67;CG5964;CG5906;CCDC151;rols;Atg1;Zmynd10;snky;flr;mop;CG33052;Edc3;Nedd4;Atg3;polo;in;atk;Spc105R;Mst77F;chb;CG10510;RpLP0;RpL10;CG34425;CG17387;Hus1-like;CG1126;asl;Atg17;Rab23;Sas-4;Mst84Dd;Mst84Db;Atg13;Cenp-C;CG9492;Fmr1;tws;Skeletor;RpL3;CG6971;CG14367;CG9286;CG3259;RpS5b;Atx2;CG4525;CG10185;sra;Patr-1;cal1;cher;Atg8b;EndoA;Sep2;CG15923;Synd;slmb;Cby;how;bond;fzo;Rab7;mask;CG13617;ana1;ball;wdb;larp;yem;stg;ncd;Nlp;RpS28a;RpL6;CG13366;tw;DAAM;CG11448;Scgdelta;dhd;unc-119;CG1571;CG10958;CG32706;CG6999;CG15306;CG15208;Klp10A;Kap3;nod;wisp;Mks1;CG10993;mud;Grip128;Myb;Sep4;mRpL22;rictor;Grip84;unc;Sep1;tilB;CG17599
actin filament-based process	l(2)gl;capt;chinmo;cpb;lilli;ed;Traf4;Lam;chic;Myo28B1;Rack1;Btk29A;Pka-C1;Pten;CG5022;SCAR;Nup154;Arpc1;ck;qua;kel;kon;sick;spir;Arpc2;Ret;step;cta;p120ctn;conu;Src42A;sced;didum;scra;CanB2;sax;pnut;sns;Ggamma1;wash;Shroom;LamC;Arf51F;Khc;RhoGEF2;ena;sktl;cpa;Vrp1;twi;CG30183;Ssrp;tsr;gek;zip;fwd;trio;mwh;Rac1;Spn;Mrtf;Girdin;pav;Cip4;Src64B;jv;Galphai;lark;pbl;nwk;Zasp67;Pi3K68D;rols;RhoGAP68F;sti;tral;flr;nuf;fz;RhoGAP71E;Abl;Nedd4;kug;polo;RhoBTB;zye;siz;Hem;alpha-Cat;unc-45;yrt;Abi;jvl;btsz;Tm1;Atx2;Sb;gish;Pak3;cher;CG43102;gukh;cdi;Dl;RhoGAP92B;psidin;Rab11;tsl;how;bond;loco;Nup98-96;mbc;Apc2;mask;crb;asp;ssh;ball;Mtl;WASp;neo;dco;bnk;Gprk2;mey;nyo;Crk;svr;CG13366;tw;DAAM;Scgdelta;Ocrl;PsGEF;N;cib;ctp;spoon;Mlc-c;swa;pod1;nullo;sn;Moe;feo;dsh;hop;m;hep;Rok;mthl1;f;Vps4;CG6873;RhoGAP18B;rictor;Vav;Cdc42;parvin;pico;Rab35
renal system process	Amnionless;Nha1;MRP;sns;Drip;Mdr49;Mdr50;Oatp58Dc;Rac1;CG10226;Mdr65;ClC-a;Nha2;kirre;Cubn;CG8028;Cdc42
pole cell development	me31B;piwi;Cul3;CycE;scra;tor;gcl;wun2;TER94;MCPH1;cnn;RhoGEF2;tud;pgc;Dhc64C;lost;tacc;osk;rump;Fmr1;tsl
import into cell	Zir;Gs1;AP-2alpha;crq;Su(dx);aop;Rab5;Drp1;CG15399;tim;Sr-CIV;Nhe3;nrv1;Nlg2;Mcr;Rbsn-5;numb;gcm;SCAR;PICK1;CG31729;NimA;NimC1;NimC2;NimC3;NimC4;Rab14;CG33310;CaBP1;BicD;Irk3;Nak;brat;Nhe2;step;Src42A;EcR;Zip42C.1;mim;Dscam1;Corin;stmA;CG18659;Rme-8;ced-6;drk;Vmat;stj;Syngr;Arf51F;Lis-1;DAT;inaC;Pkc53E;ktub;Synj;Vrp1;Vps35;CG10339;SerT;Mid1;Eps-15;Rac1;Pxn;Cbl;foi;ArfGAP1;Atg1;Zip71B;CG7255;comm;Dab;Nedd4;CG32206;RhoBTB;Syx7;Arf79F;slif;CG41099;aux;Nlg1;CD98hc;CG2747;CG8176;CG34402;nsl1;gish;repo;l(3)05822;EndoA;CG11703;CG5250;psidin;Nlg4;Synd;CG3822;Rab11;CASK;lqfR;AP-2mu;Nrx-1;Irk1;prt;Rab7;scrib;eater;Mtl;WASp;Cad99C;dco;Gprk2;faf;krz;JYalpha;Crk;CG12773;rush;Ocrl;csw;w;rb;dx;Moe;spri;CG42339;CG1657;prtp;hep;g;yl;Graf;Chc;mnb;Tao;Mer;Cdc42;Rab35
gene silencing	Elba2;Bsg25A;Elba3;Lam;chm;Su(var)205;Chrac-14;pelo;me31B;piwi;Ge-1;crol;esc;nub;Sfmbt;Smg5;squ;msl-1;Top2;barr;Nbr;Mcm10;CG8677;BubR1;Ars2;bin3;Bap170;psq;wde;wash;Psc;cid;fl(2)d;AGO1;CG6701;LamC;Su(var)2-HP2;Rif1;Khc;CG6967;Bap55;lolal;dom;LS2;pita;ppk29;egg;Kr;Tudor-SN;mu2;armi;CycJ;blanks;scny;msl-3;phol;E(z);JIL-1;upSET;CG9425;Su(z)12;Pc;mael;AGO3;Rga;MTA1-like;Rm62;gpp;bel;CG8036;pum;HP1e;MBD-like;Scm;Fmr1;Su(var)3-7;su(Hw);BigH1;Hsc70-4;Cp190;Atx2;spn-E;Bin1;Ubx;Cbp20;cd;CG6204;Spps;puf;polybromo;Smg6;vig2;XNP;hdc;pasha;gw;pho;Hmt4-20;CDC45L;Adar;ph-d;ph-p;z;Parg;rb;Cbp80;Hsc70-3;Upf1;Usp7;Tis11;g;jub;CoRest;e(y)3;Hers;CG17168
biological adhesion	ds;aop;Sec24CD;ed;ft;tutl;Tsp;Nlg2;CG44153;SCAR;crol;Arpc1;rk;CG43333;beat-Ib;beat-Ic;beat-Ia;beat-IIIb;beat-IIIc;CadN;CadN2;Ret;p120ctn;Src42A;EcR;Dscam1;wech;sns;Ggamma1;Ndg;RanBPM;stan;otk;wash;Lac;muskelin;hbs;POSH;par-1;18w;shg;wrapper;CG10339;Mmp1;Rac1;Girdin;Fit1;Src64B;Con;Mp;Dscam2;Dscam4;CG32087;prc;Ptp69D;fz;mop;Eig71Ee;Ccn;NijB;Mkp3;kug;zye;CG7166;Hem;Ten-m;alpha-Cat;Cont;Pak;Nlg1;pyd;Cad86C;Cad87A;NijC;beat-Vc;beat-Va;beat-Vb;Abi;Cad88C;Cad89D;Fas1;beat-IIb;beat-IIa;Dscam3;Dl;Nlg4;Burs;glec;how;klg;beat-IV;Apc2;Cad96Ca;Cad96Cb;scrib;beat-VII;Tl;eater;CG34353;beat-VI;Cad99C;pygo;PlexA;sdk;arm;Vinc;egh;kirre;N;Grip;m;fw;Jafrac1;Chc;disco-r;mbt;baz;parvin
regulation of transferase activity	l(2)gl;Pi3K21B;RpLP1;Traf4;Rca1;Wee1;smt3;Cks30A;Pten;Cdk5alpha;CycY;kek1;CG31832;CycE;fzy;chif;Nedd8;step;CG41520;dap;pcs;Alk;hppy;hpo;CkIIbeta2;blw;CycB;fzr2;Ssl;Pdk1;Rac1;CG12084;Cdc37;msn;CycJ;Src64B;smid;Cbl;CycA;gnu;CycT;bora;Mkp3;wnd;trbl;CG17514;Atg17;Pak;Atg13;Mkk4;Cks85A;CG6345;Blm;CG9286;Abi;Hexim;CG6966;CG9593;Pak3;GckIII;koko;fray;Pi3K92E;SNF4Agamma;mats;Takl2;Pli;CycB3;ssh;CycG;krz;Cdk7;raptor;sws;slpr;Dsor1;CG1791;CkIIbeta;hep;lic;Rab3-GEF;CycD;mbt;par-6;mnb;rictor;Tao;MKP-4;Cdc42
supramolecular fiber organization	capt;chinmo;cpb;ed;Lam;chic;stai;Rack1;Btk29A;SCAR;Nup154;Arpc1;ck;CG18109;qua;kon;gammaTub37C;sick;spir;Arpc2;Ret;conu;Src42A;sced;CanB2;sax;mlt;wash;Shroom;LamC;Khc;RhoGEF2;Patronin;ena;TBCB;cpa;Vrp1;CG3085;Ssrp;tsr;gek;zip;mwh;Rac1;msd1;Spn;Girdin;dar1;ens;Cip4;Src64B;Dhc64C;CG32232;jv;CG7716;nwk;Klp67A;Zasp67;nudE;rols;RhoGAP68F;flr;fz;Abl;Nedd4;polo;RhoBTB;zye;chb;Ten-m;tacc;Kat60;kat-60L1;Sas-4;Jupiter;Abi;jvl;btsz;Tm1;Atx2;msps;Sb;gish;Pak3;cher;cdi;Dl;RhoGAP92B;psidin;how;Nup98-96;spas;Apc2;mask;asp;ssh;ball;Mtl;WASp;Apc;dco;bnk;svr;CG13366;tw;DAAM;Scgdelta;PsGEF;N;CG10793;cib;ctp;spoon;swa;sn;Moe;Klp10A;dsh;nod;m;hep;Grip128;kat80;Rok;f;CG6873;Grip84;Cdc42;pico
embryo development ending in birth or egg hatching	l(2)gl;lwr;aop;Rab5;dpp;Mad;ed;Traf4;Bsg25A;chic;PDZ-GEF;mmy;Wee1;wg;Mcr;Btk29A;Arpc1;grp;tup;barr;step;tsh;Src42A;EcR;sced;Eb1;dpn;sns;Ggamma1;KCNQ;kn;chn;Rif1;RhoGEF2;POSH;thr;lolal;ena;rib;exu;shg;CycB;zip;Rac1;msn;dib;lark;Doc1;alphaTub67C;scyl;chrb;mirr;shd;Mbs;Abl;Dab;CG32206;ash1;Deaf1;alpha-Cat;cno;Pak;pyd;pum;Ras85D;jumu;sad;CG34402;yrt;put;Cp190;pnr;sr;Pi3K92E;Rab11;mbc;Apc2;Orct2;crb;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;l(3)mbt;Mtl;faf;gw;elav;a6;arm;kirre;N;Rala;Dok;Traf6;slpr;oc;Bx42;Myo10A;dsh;hep;Rok;upd2;upd3;phm;Pvf1;Vav;Cdc42;Npc1b
